State,day_of_week,hour_of_day,total_accidents,high_severity_accidents
CO,2,2,61,14
CO,2,3,41,11
CO,2,4,107,33
CO,2,5,293,84
CO,2,6,920,300
CO,2,7,1686,346
CO,2,8,1730,322
CO,2,9,760,153
CO,2,10,155,100
CO,2,11,182,118
CO,2,12,151,98
CO,2,13,171,109
CO,2,14,198,129
CO,2,15,313,208
CO,2,16,323,195
CO,2,17,325,206
CO,2,18,238,168
CO,2,19,68,54
CO,2,20,38,30
CO,2,21,48,34
CO,2,22,39,29
CO,2,23,7,5
CO,3,0,17,8
CO,3,1,84,26
CO,3,2,75,14
CO,3,3,51,15
CO,3,4,133,39
CO,3,5,363,119
CO,3,6,1000,311
CO,3,7,1614,344
CO,3,8,1723,320
CO,3,9,767,159
CO,3,10,155,104
CO,3,11,188,125
CO,3,12,159,104
CO,3,13,185,141
CO,3,14,207,151
CO,3,15,234,155
CO,3,16,301,214
CO,3,17,296,194
CO,3,18,236,171
CO,3,19,90,72
CO,3,20,52,39
CO,3,21,50,33
CO,3,22,36,33
CO,3,23,10,6
CO,4,0,18,12
CO,4,1,112,35
CO,4,2,136,38
CO,4,3,79,30
CO,4,4,144,45
CO,4,5,351,96
CO,4,6,827,243
CO,4,7,1316,267
CO,4,8,1338,244
CO,4,9,713,130
CO,4,10,150,109
CO,4,11,211,160
CO,4,12,204,149
CO,4,13,231,183
CO,4,14,303,226
CO,4,15,351,244
CO,4,16,351,250
CO,4,17,338,234
CO,4,18,243,201
CO,4,19,95,80
CO,4,20,63,53
CO,4,21,32,27
CO,4,22,61,51
CO,4,23,23,19
CO,5,0,13,10
CO,5,1,11,10
CO,5,2,20,16
CO,5,3,9,7
CO,5,4,13,13
CO,5,5,36,29
CO,5,6,61,50
CO,5,7,54,44
CO,5,8,69,48
CO,5,9,56,42
CO,5,10,121,105
CO,5,11,163,143
CO,5,12,212,175
CO,5,13,208,175
CO,5,14,200,174
CO,5,15,141,120
CO,5,16,136,111
CO,5,17,136,124
CO,5,18,115,102
CO,5,19,73,62
CO,5,20,73,64
CO,5,21,30,18
CO,5,22,27,20
CO,5,23,28,23
CO,6,0,12,9
CO,6,1,14,12
CO,6,2,25,22
CO,6,3,17,14
CO,6,4,15,14
CO,6,5,27,25
CO,6,6,21,18
CO,6,7,50,43
CO,6,8,48,34
CO,6,9,52,46
CO,6,10,86,67
CO,6,11,109,88
CO,6,12,159,133
CO,6,13,119,108
CO,6,14,121,106
CO,6,15,118,98
CO,6,16,102,80
CO,6,17,96,87
CO,6,18,90,72
CO,6,19,57,50
CO,6,20,72,65
CO,6,21,19,17
CO,6,22,20,18
CO,6,23,16,13
CT,0,0,3,2
CT,0,1,24,19
CT,0,2,11,9
CT,0,3,8,8
CT,0,4,85,58
CT,0,5,108,56
CT,0,6,250,125
CT,0,7,437,209
CT,0,8,470,244
CT,0,9,137,81
CT,0,10,140,76
CT,0,11,153,77
CT,0,12,114,78
CT,0,13,186,111
CT,0,14,216,159
CT,0,15,236,160
CT,0,16,270,177
CT,0,17,273,198
CT,0,18,171,113
CT,0,19,103,72
CT,0,20,83,56
CT,0,21,56,46
CT,0,22,31,27
CT,0,23,10,7
CT,1,1,10,9
CT,1,2,7,6
CT,1,3,9,6
CT,1,4,60,36
CT,1,5,119,78
CT,1,6,249,141
CT,1,7,518,268
CT,1,8,550,280
CT,1,9,157,77
CT,1,10,169,110
CT,1,11,165,87
CT,1,12,139,105
CT,1,13,168,110
CT,1,14,203,134
CT,1,15,227,155
CT,1,16,292,207
CT,1,17,299,197
CT,1,18,178,127
CT,1,19,93,68
CT,1,20,56,45
CT,1,21,76,54
CT,1,22,46,40
CT,1,23,12,8
CT,2,0,2,1
CT,2,1,15,12
CT,2,2,11,7
CT,2,3,3,2
CT,2,4,56,34
CT,2,5,86,48
CT,2,6,263,151
CT,2,7,497,271
CT,2,8,522,272
CT,2,9,148,71
CT,2,10,174,101
CT,2,11,196,106
CT,2,12,143,99
CT,2,13,186,125
CT,2,14,187,121
CT,2,15,247,181
CT,2,16,275,200
CT,2,17,293,203
CT,2,18,207,147
CT,2,19,112,79
CT,2,20,55,37
CT,2,21,58,43
CT,2,22,41,37
CT,2,23,12,9
CT,3,0,2,2
CT,3,1,12,9
CT,3,2,11,10
CT,3,4,62,38
CT,3,5,103,64
CT,3,6,272,168
CT,3,7,469,261
CT,3,8,520,262
CT,3,9,163,92
CT,3,10,147,84
CT,3,11,146,79
CT,3,12,144,90
CT,3,13,167,105
CT,3,14,227,147
CT,3,15,255,181
CT,3,16,374,257
CT,3,17,365,239
CT,3,18,251,164
CT,3,19,135,89
CT,3,20,64,51
CT,3,21,60,52
CT,3,22,42,33
CT,3,23,14,12
CT,4,1,19,17
CT,4,2,8,7
CT,4,3,7,5
