State,Weather_Condition,Severity,Count
OK,Overcast,1,2
OK,Overcast,2,5720
OK,Overcast,3,528
OK,Overcast,4,1
OK,Partly Cloudy,1,99
OK,Partly Cloudy,2,5588
OK,Partly Cloudy,3,580
OK,Partly Cloudy,4,3
OR,Clear,2,2455
OR,Clear,3,905
OR,Clear,4,1
OR,Fair,1,34
OR,Fair,2,2727
OR,Fair,3,1070
OR,Fair,4,26
OR,Mostly Cloudy,1,4
OR,Mostly Cloudy,2,2396
OR,Mostly Cloudy,3,1072
OR,Mostly Cloudy,4,11
OR,Overcast,2,2104
OR,Overcast,3,819
OR,Overcast,4,2
OR,Partly Cloudy,1,2
OR,Partly Cloudy,2,1290
OR,Partly Cloudy,3,567
OR,Partly Cloudy,4,6
PA,Clear,1,13
PA,Clear,2,21655
PA,Clear,3,3777
PA,Clear,4,10
PA,Fair,1,678
PA,Fair,2,16024
PA,Fair,3,5040
PA,Fair,4,180
PA,Mostly Cloudy,1,145
PA,Mostly Cloudy,2,7698
PA,Mostly Cloudy,3,3735
PA,Mostly Cloudy,4,55
PA,Overcast,1,5
PA,Overcast,2,12477
PA,Overcast,3,3224
PA,Overcast,4,6
PA,Partly Cloudy,1,81
PA,Partly Cloudy,2,4556
PA,Partly Cloudy,3,2171
PA,Partly Cloudy,4,32
RI,Clear,2,361
RI,Clear,3,626
RI,Clear,4,1
RI,Fair,1,49
RI,Fair,2,966
RI,Fair,3,1074
RI,Fair,4,2
RI,Mostly Cloudy,1,23
RI,Mostly Cloudy,2,802
RI,Mostly Cloudy,3,1480
RI,Mostly Cloudy,4,1
RI,Overcast,2,328
RI,Overcast,3,655
RI,Partly Cloudy,1,9
RI,Partly Cloudy,2,422
RI,Partly Cloudy,3,896
RI,Partly Cloudy,4,1
SC,Clear,1,13
SC,Clear,2,33501
SC,Clear,3,8725
SC,Clear,4,10
SC,Fair,1,2456
SC,Fair,2,58063
SC,Fair,3,8402
SC,Fair,4,347
SC,Mostly Cloudy,1,590
SC,Mostly Cloudy,2,17688
SC,Mostly Cloudy,3,5234
